location,text,hashtags,tweetcreatedts
"New York, USA",@realDonaldTrump #COVID19 #QuarantineLife #ChrisChristie Look if Chris Christie can beat Covid 19 (sorry Gov) there is no damn excuse for states to be closed at all! Trump is ready to do live rallies for fuck’s sake. 74 years old! OPEN UP AMERICA!!!,"[{'text': 'COVID19', 'indices': [17, 25]}, {'text': 'QuarantineLife', 'indices': [26, 41]}, {'text': 'ChrisChristie', 'indices': [42, 56]}]",2020-10-10 16:38:22
"Los Angeles, CA",Our POTUS doesn't understand that it's not a point scale with a virus. It's positive or negative. Does he think he's going to go from a COVID-19 down to a COVID-3? Nine months in and he doesn't understand the basics. #VoteBlueToSaveAmerica https://t.co/1UT93s5A1E,[],2020-10-10 16:38:21
"Woodland Hills, Los Angeles","Boy, oh boy, can @Olivianuzzi write. https://t.co/tMsESg3Cv3",[],2020-10-10 16:38:16
"Chicago, IL","When you cast your ballot, remember that the same Senate Republicans who blocked COVID-19 relief for over four months are rushing as quickly as possible to confirm Amy Coney Barrett and take away your health coverage.",[],2020-10-10 16:38:15
"Chicago, Illinois","With Sen. Graham refusing to take a Covid-19 test before his scheduled debate Friday with Democratic challenger Jaime Harrison, event organizers were forced to change the format, offering back-to-back, one-on-one interviews rather than a debate. https://t.co/POgIuBUJRz",[],2020-10-10 16:38:12
Indianapolis ✈️ Los Angeles,"Today, Indiana posted its highest numbers of COVID-19 infections since the pandemic began. The previous record was set yesterday. Indiana is currently on Stage 5 - restaurants and bars are able to operate at full capacity. Total disaster. This is preventable. https://t.co/746XnxNDic",[],2020-10-10 16:38:10
"Chicago, IL","I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:38:07
"Los Angeles, Calif",Inside the Trump White House After His COVID-19 Diagnosis https://t.co/x9uwwMhlNF,[],2020-10-10 16:38:05
"Chicago, IL",Fansville reported a 48% week over week increase in COVID-19 cases. Public health officials are blaming a super-spreader event held when Dr. Pepper separatists gathered at town hall to protest the introduction of Mountain Dew to school lunches. Just a really sad situation there,[],2020-10-10 16:38:03
Los Angeles,"For the record Trump did not have a ‘medical examine’ on Fox last night. He was asked a bunch of questions by a doctor who has  said Covid 19 is not more problematic or deadly than influenza, promoted the use of hydroxychloroquine and has never treated Trump.",[],2020-10-10 16:38:02
New York,".@NPR shares a #coronavirus world map that is updated regularly, tracking each case. 

Check it out here to #StayInformed: 
#HealthcareHeroes 
#StrongerTogether 
https://t.co/4qh6SjH4rz","[{'text': 'coronavirus', 'indices': [15, 27]}, {'text': 'StayInformed', 'indices': [108, 121]}, {'text': 'HealthcareHeroes', 'indices': [124, 141]}, {'text': 'StrongerTogether', 'indices': [143, 160]}]",2020-10-10 16:38:00
"New York, NY","Protest and religious gatherings for Jews not permitted.

Riots, BLM, and ANTIFA protests are ok.

This is the new world order of @NYCMayor and @NYGovCuomo.

#Antisemitism 

https://t.co/sekDkoVb6Y",[],2020-10-10 16:37:58
"New York, NY","John Cornyn knew the COVID-19 pandemic had the potential to be devastating. He received intelligence briefings at the very start. 

This was his response. Now thousands of Texans are dead. #TXSenateDebate #TXSen",[],2020-10-10 16:37:53
"San Francisco, CA","The perception that wearing masks and following social distancing guidelines are unmanly has carried a destructive cost, some experts who study masculinity and public health say. 

Covid-19 has infected more men than women and killed far more of them. https://t.co/ZnvJMVOR2x",[],2020-10-10 16:37:49
"Miami, FL",I’m not betting on these young niggas no mo. I ain’t know V tech was missing 13 players due to COVID-19,[],2020-10-10 16:37:45
"Los Angeles, CA  ","""If our voices can give strength to people, then that’s what we want and that’s what we’ll keep on doing.""
 
@BTS_twt’s heartfelt message to young people at #UNGA. From feeling alone to feeling hopeless, they shared their struggles during COVID-19 to remind us what binds us. https://t.co/SuD4Rm6ABa",[],2020-10-10 16:37:36
Los Angeles,How much of a difference can a person make by stepping up? Read my column today about a little girl bouncing around the foster-care system — and the @CASAofLA volunteer who championed her and helped change her life. https://t.co/3F5B8rD6Fm #mydayinla,[],2020-10-10 16:37:33
"Miami, FL",It appears that the fans in the stands at #TEXvsOU have decided that Covid-19 is canceled.,"[{'text': 'TEXvsOU', 'indices': [42, 50]}]",2020-10-10 16:37:31
San Francisco to Anywhere! ,"Why is the White House - replete with COVID-19 positive individuals - inviting 2,000 plus guests to attend an event today?",[],2020-10-10 16:37:30
"Los Angeles, CA  ","""Stars shine brightest when the night is darkest.""

@BTS_twt recently shared what helped them overcome feelings of hopelessness, sadness and frustration during COVID-19. Sharing how you're really feeling is the first step to getting the help you may need. https://t.co/nDGS2QnWlJ",[],2020-10-10 16:37:16
Los Angeles,"I love Fall weather. Time to make soup 🍲 Stay healthy Stay positive 
The best is yet to come ❤️ #soup #fall #Caturday #foodie #mentalhealthday #COVID__19  #5amwritersclub https://t.co/fI5nIOx9Bm","[{'text': 'soup', 'indices': [116, 121]}, {'text': 'fall', 'indices': [122, 127]}, {'text': 'Caturday', 'indices': [128, 137]}]",2020-10-10 16:37:08
New York,"&gt;&gt; @LorraineAli on Trump's televised doctor visit: ""The interview resembled the type of propaganda we’re used to seeing from foreign dictators, pumped out via state-sponsored media..."" https://t.co/kn9Cw8NrpK",[],2020-10-10 16:37:08
Los Angeles,"As President, #BidenWillCrushCovid because @JoeBiden believes in science + knows the difference that good governance makes in tackling our greatest challenges.

#Coronavirus requires a scientific, evidence-based approach. VOTE OUT TRUMP, a science-denier.

https://t.co/Sgg5N5eidO","[{'text': 'BidenWillCrushCovid', 'indices': [27, 47]}]",2020-10-10 16:37:00
"New York, USA","""Regeneron currently has enough doses for 50,000 patients... To put that in context, the United States has 50,000 new cases of COVID-19 every day."" 

.@sarahzhang on the antibody cocktail that Trump received. 

https://t.co/QhyxHv8IH6",[],2020-10-10 16:37:00
"Charlotte, NC / New York, NY","@Senate_Fund Wreck less behavior is declaring Hispanics more prone to #COVID-19 b/c they socialize too much, then go to a #SuperSpreader event, not social distance (even get cringeworthy close to @Barrett_SCOTUS son) &amp; get sick w/the virus. You’re pathetic losers. https://t.co/4mPzTDWdEl","[{'text': 'COVID', 'indices': [70, 76]}, {'text': 'SuperSpreader', 'indices': [122, 136]}]",2020-10-10 16:36:59
